informal	formal
dlm	dalam
pd	pada
apps	aplikasi
yg	yang
hp	handphone
bbrp	beberapa
org	orang
orng	orang
gak	tidak
jg	juga
hny	hanya
hnya	hanya
boulevardsetiap	boulevard setiap
direceptionis	di resepsionis
mreka	mereka
contohharga	contoh harga
byr	bayar
skrg	sekarang
jd	jadi
app	aplikasi
sy	saya
utk	untuk
tgl	tanggal
dgn	dengan
niasmedan	nias medan
medanjakarta	medan jakarta
medanbatam	medan batam
tdk	tidak
krn	karena
krna	karena
dr	dari
tak	tidak
tlp	telepon
cs	customer service
blm	belum
ga	tidak
sdh	sudah
sibukterpaksa	sibuk terpaksa
knp	kenapa
srh	suruh
terbiteh	terbit eh
trnyt	ternyata
mnguasai	menguasai
sptnyatlg	sepertinya tolong
trus	terus
pesen	pesan
karna	karena
mlakukan	melakukan
komfirmasi	konfirmasi
bantuanx	bantuannya
ttd	tertanda
jgn	jangan
jelasdi	jelas di
maumerepas	maumere waktu
inibalikin	ini balikin
direfundsaya	direfund saya
no	nomor
semuabukti	semua bukti
semuagak	semua tidak
malubukti	malu bukti
pesananpembayaran	pesanan pembayaran
semuatidak	semua tidak
jawabmalinggg	jawab maling
travelbooking	travel booking
hoteltiket	hotel tiket
pay laterhanya	paylater hanya
pay later	paylater 
gabut	bosan
nyaapp	nya aplikasi
sefeekwensi	sefrekuensi
refound	refund
blng	bilang
knapa	kenapa
eatscatet	eats catat
bad	buruk
tetiba	tiba-tiba
food	makanan
msuk	masuk
nunggu	menunggu
travelokasy	traveloka saya
pertimbanganspt	pertimbangan seperti
pengajuansaya	pengajuan saya
kmrn	kemarin
batambali	batam bali
jkt	jakarta
ket	keterangan
batamjkt	batam jakarta
free	gratis
jktbali	jakarta bali
pas	waktu
hbs	habis
bnyak	banyak
hrs	harus
emg	memang
sorry	maaf
full	penuh
taun	tahun
g	tidak
bete	kesal
ttp	tetap
pdhal	padahal
udh	sudah
costumer	pelanggan
customer	pelanggan
inbox	kotak masuk
ig	instagram
comment	komen
trf	transfer
travelokamohon	traveloka mohon
via	melalui
adayang	ada yang
toiletdan	toilet dan
gandatdk	ganda tidak
trs	terus
ditemukansaya	ditemukan saya
diblg	di bilang
brgkt	berangkat
krnorg	karena orang
dirubahsaya	dirubah saya
klo	kalau
gpp	tidak apa-apa
sekalipadahal	sekali padahal
pemesana	pemesanan
notif	notifikasi
sampe	sampai
ngadain	mengadakan
gk	tidak
guna	berguna
banget	sangat
rescdhl	reschedule
kecewaaa	kecewa
so	jadi
dll	dan lain-lain
usah	perlu
nyari	mencari
inisaya	ini saya
telat	terlambat
jm	jam
rilisdan	rilis dan
semuasaran	semua saran
tapiiii	tapi
ajuin	mengajukan
brapa	berapa
bener	benar
skarang	sekarang
lagigimana	lagi bagaimana
gabisa	tidak bisa
flight	penerbangan
airline	maskapai
berharihari	berhari-hari
emailwa	email whatsapp
ulangulang	ulang-ulang
pilihanitem	pilihan item
tsb	tersebut
permanenpadahal	permanen padahal
tertunggaklimit	tertunggak limit
trz	terus
dapet	dapat
pemberitauan	pemberitahuan
bs	bisa
travelokamu	traveloka mu
bgm	bagaimana
wong	orang
gw	saya
cepattt	cepat
eskpek	expect
cepek	seratus ribu
doang	hanya
nggak	tidak
gilaaa	gila
kyk	seperti
tp	tapi
jga	juga
alfamartindomaret	alfamart indomaret
mnt	minta
tlg	tolong
hrsnya	harusnya
lgkrn	lagi karena
kartutiket	kartu tiket
kebelihrsnya	dibeli harusnya
ad	ada
masukkansupaya	masukkan supaya
kredittlg	kredit tolong
travelokasupaya	traveloka supaya
lgmhn	lagi mohon
pertimbangkantks	pertimbangkan terima kasih
skedar	sekedar
sarankanaplikasi	saran kan aplikasi
dg	dengan
gmana	bagaimana
sllu	selalu
trx	transfer
paylatter	paylater
save	simpan
lbh	lebih
dah	sudah
nyaalhasil	nya alhasil
blg	bilang
pembatalansuruh	pembatalan suruh
nggu	menunggu
malammati	malam mati
dihotel	di hotel
taikseumur	taik seumur
viturnya	fiturnya
sya	saya
pembayan	pembayaran
rek	rekening
travelok	traveloka
udah	sudah
awalbulan	awal bulan
jawabancs	jawaban customer service
brp	berapa
gua	saya
screnshoot	screenshoot
gmn	bagaimana
dllnyamohon	dan lain-lainnya mohon
bales	balas
nyampe	sampai
komplen	komplain
complain	komplain
apk	aplikasi
knpa	kenapa
sprti	seperti
ka	kereta api
refundnyasdh	refundnya sudah
kecewakanyang	kecewakan yang
lgi	lagi
pda	pada
sma	sama
jdi	jadi
jogjakartalampung	yogyakarta lampung
jogjakartajakarta	yogyakarta jakarta
jakartalampung	jakarta lampung
hub	hubungi
enga	tidak
gag	tidak
bls	balas
dibatalkantapi	dibatalkan tapi
indo	indonesia
ln	luar negeri
tpi	tapi
kalok	kalau
maen	main
gt	gitu
ticket	tiket
tros	terus
sayan	saya
telp	telepon
nu ggu	menunggu
maafsaya	maaf saya
dlunanti	dulu nanti
bintangnyasaya	bintangnya saya
viturnya	fiturnya
pembayaranaplikasinya	pembayaran aplikasinya
tekluar	keluar
terustolong	terus tolong
dinperhatikansaya	diperhatikan saya
persulitjangan	persulit jangan
waktunyananti	waktunya nanti
dendasaya	denda saya
bayarjngan	bayar jangan
persulitterimakasih	persulit terimakasih
skr	sekarang
dri	dari
deliverytop	delivery top
problem	masalah
gakbisa	tidak bisa
kenapan	kenapa
bsa	bisa
dipakaidi	dipakai di
